COMPANY_NAME,COUNTRY_NAME
AKER BIOMARINE AS,Argentina
ADRIATIC SEA FISH,Romania
ALBACORA GROUP,Ecuador
ALBACORA GROUP,Spain
ALDA SEAFOOD,Norway
AMERICAN SEAFOODS,Iceland
AMERICAN SEAFOODS,Norway
AMERICAN SEAFOODS,United States of America
AMUR CAVIAR,China
AMUR CAVIAR,Russian Federation
ANDFJORD SALMON AS,Norway
ANDREW MARR INTERNATIONAL LIMITED,Argentina
ANDREW MARR INTERNATIONAL LIMITED,Canada
ANDREW MARR INTERNATIONAL LIMITED,Chile
ANDREW MARR INTERNATIONAL LIMITED,China
ANDREW MARR INTERNATIONAL LIMITED,Ecuador
ANDREW MARR INTERNATIONAL LIMITED,Faroe Islands
ANDREW MARR INTERNATIONAL LIMITED,Iceland
ANDREW MARR INTERNATIONAL LIMITED,India
ANDREW MARR INTERNATIONAL LIMITED,Indonesia
ANDREW MARR INTERNATIONAL LIMITED,Ireland
ANDREW MARR INTERNATIONAL LIMITED,Japan
ANDREW MARR INTERNATIONAL LIMITED,Mauritania
ANDREW MARR INTERNATIONAL LIMITED,Morocco
ANDREW MARR INTERNATIONAL LIMITED,Namibia
ANDREW MARR INTERNATIONAL LIMITED,New Zealand
ANDREW MARR INTERNATIONAL LIMITED,Norway
ANDREW MARR INTERNATIONAL LIMITED,Oman
ANDREW MARR INTERNATIONAL LIMITED,Peru
ANDREW MARR INTERNATIONAL LIMITED,Republic of Korea
ANDREW MARR INTERNATIONAL LIMITED,Russian Federation
ANDREW MARR INTERNATIONAL LIMITED,Senegal
ANDREW MARR INTERNATIONAL LIMITED,South Africa
ANDREW MARR INTERNATIONAL LIMITED,Spain
ANDREW MARR INTERNATIONAL LIMITED,Sri Lanka
ANDREW MARR INTERNATIONAL LIMITED,Thailand
ANDREW MARR INTERNATIONAL LIMITED,United Kingdom
ANDREW MARR INTERNATIONAL LIMITED,United States of America
ANDREW MARR INTERNATIONAL LIMITED,Uruguay
ANDREW MARR INTERNATIONAL LIMITED,Viet Nam
ASIAN SEA CORP PUBLIC CO LTD,China
ASIAN SEA CORP PUBLIC CO LTD,Germany
ASIAN SEA CORP PUBLIC CO LTD,Thailand
ATUNSA,Spain
AUSTEVOLL SEAFOOD ASA,Chile
AUSTEVOLL SEAFOOD ASA,Denmark
AUSTEVOLL SEAFOOD ASA,Ireland
AUSTEVOLL SEAFOOD ASA,Norway
AUSTEVOLL SEAFOOD ASA,Peru
AUSTRAL FISHERIES,Australia
AUSTRALIS SEAFOODS SA,Chile
