COMPANY_NAME,SPECIES_NAME
AKER BIOMARINE AS,Antarctic krill
AKVA GROUP ASA,Atlantic bluefin tuna
AKVA GROUP ASA,Atlantic cod
AKVA GROUP ASA,Chinook(=Spring=King) salmon
AKVA GROUP ASA,Chum(=Keta=Dog) salmon
AKVA GROUP ASA,Coho(=Silver) salmon
AKVA GROUP ASA,Common sole
AKVA GROUP ASA,Giant tiger prawn
AKVA GROUP ASA,Pink(=Humpback) salmon
AKVA GROUP ASA,Rainbow trout
AKVA GROUP ASA,Salmonids nei
AKVA GROUP ASA,Sea trout
AKVA GROUP ASA,Sockeye(=Red) salmon
ALBACORA GROUP,Albacore
ALBACORA GROUP,Bigeye tuna
ALBACORA GROUP,Skipjack tuna
ALBACORA GROUP,Yellowfin tuna
ALDA SEAFOOD,Acadian redfish
ALDA SEAFOOD,Atlantic cod
ALDA SEAFOOD,Atlantic redfishes nei
ALDA SEAFOOD,Beaked redfish
ALDA SEAFOOD,Black rockfish
ALDA SEAFOOD,Bocaccio rockfish
ALDA SEAFOOD,Canary rockfish
ALDA SEAFOOD,Chilipepper rockfish
ALDA SEAFOOD,Darkblotched rockfish
ALDA SEAFOOD,Golden redfish
ALDA SEAFOOD,Greenland halibut
ALDA SEAFOOD,Haddock
ALDA SEAFOOD,Norway redfish
ALDA SEAFOOD,Pacific ocean perch
ALDA SEAFOOD,Patagonian redfish
ALDA SEAFOOD,Saithe(=Pollock)
ALDA SEAFOOD,Widow rockfish
ALDA SEAFOOD,Yellowtail rockfish
AMERICAN SEAFOODS,Alaska pollock(=Walleye poll.)
AMERICAN SEAFOODS,Chinook(=Spring=King) salmon
AMERICAN SEAFOODS,Chum(=Keta=Dog) salmon
AMERICAN SEAFOODS,Coho(=Silver) salmon
AMERICAN SEAFOODS,North Pacific hake
AMERICAN SEAFOODS,Pacific cod
AMERICAN SEAFOODS,Pacific halibut
AMERICAN SEAFOODS,Pink(=Humpback) salmon
AMERICAN SEAFOODS,Rainbow trout
AMERICAN SEAFOODS,Salmonids nei
AMERICAN SEAFOODS,Sea trout
AMERICAN SEAFOODS,Sockeye(=Red) salmon
AMERICAN SEAFOODS,Yellowfin sole
ANDREW MARR INTERNATIONAL LIMITED,Acadian redfish
ANDREW MARR INTERNATIONAL LIMITED,Acute-jawed mullet
ANDREW MARR INTERNATIONAL LIMITED,Alaska pollock(=Walleye poll.)
ANDREW MARR INTERNATIONAL LIMITED,Alewife
ANDREW MARR INTERNATIONAL LIMITED,Allis shad
ANDREW MARR INTERNATIONAL LIMITED,Amer. plaice(=Long rough dab)
ANDREW MARR INTERNATIONAL LIMITED,American angler
ANDREW MARR INTERNATIONAL LIMITED,American gizzard shad
ANDREW MARR INTERNATIONAL LIMITED,American lobster
ANDREW MARR INTERNATIONAL LIMITED,American sea scallop
ANDREW MARR INTERNATIONAL LIMITED,American shad
ANDREW MARR INTERNATIONAL LIMITED,"Anchovies, etc. nei"
ANDREW MARR INTERNATIONAL LIMITED,Angler(=Monk)
ANDREW MARR INTERNATIONAL LIMITED,Anglerfishes nei
ANDREW MARR INTERNATIONAL LIMITED,"Antarctic rockcods, noties nei"
ANDREW MARR INTERNATIONAL LIMITED,Antarctic toothfish
ANDREW MARR INTERNATIONAL LIMITED,Ara
ANDREW MARR INTERNATIONAL LIMITED,Araucanian herring
ANDREW MARR INTERNATIONAL LIMITED,Areolate grouper
ANDREW MARR INTERNATIONAL LIMITED,Argentine menhaden
ANDREW MARR INTERNATIONAL LIMITED,Argentine seabass
ANDREW MARR INTERNATIONAL LIMITED,Arrowtooth flounder
ANDREW MARR INTERNATIONAL LIMITED,Atlantic cod
ANDREW MARR INTERNATIONAL LIMITED,Atlantic goliath grouper
ANDREW MARR INTERNATIONAL LIMITED,Atlantic halibut
ANDREW MARR INTERNATIONAL LIMITED,Atlantic herring
ANDREW MARR INTERNATIONAL LIMITED,Atlantic menhaden
ANDREW MARR INTERNATIONAL LIMITED,Atlantic redfishes nei
ANDREW MARR INTERNATIONAL LIMITED,Atlantic thread herring
ANDREW MARR INTERNATIONAL LIMITED,Australian salmon
ANDREW MARR INTERNATIONAL LIMITED,Bali sardinella
ANDREW MARR INTERNATIONAL LIMITED,Beaked redfish
ANDREW MARR INTERNATIONAL LIMITED,Bigeye bass
ANDREW MARR INTERNATIONAL LIMITED,Black and Caspian Sea sprat
ANDREW MARR INTERNATIONAL LIMITED,Black grouper
ANDREW MARR INTERNATIONAL LIMITED,Black rockfish
ANDREW MARR INTERNATIONAL LIMITED,Black seabass
ANDREW MARR INTERNATIONAL LIMITED,Blackbellied angler
ANDREW MARR INTERNATIONAL LIMITED,Blackfin goosefish
ANDREW MARR INTERNATIONAL LIMITED,Blacksaddled coralgrouper
ANDREW MARR INTERNATIONAL LIMITED,Blacktip grouper
ANDREW MARR INTERNATIONAL LIMITED,Bloch's gizzard shad
ANDREW MARR INTERNATIONAL LIMITED,Blue ling
ANDREW MARR INTERNATIONAL LIMITED,Blue whiting(=Poutassou)
ANDREW MARR INTERNATIONAL LIMITED,Blueback shad
ANDREW MARR INTERNATIONAL LIMITED,Bluespotted seabass
ANDREW MARR INTERNATIONAL LIMITED,Bobo mullet
ANDREW MARR INTERNATIONAL LIMITED,Bocaccio rockfish
ANDREW MARR INTERNATIONAL LIMITED,Bonga shad
ANDREW MARR INTERNATIONAL LIMITED,Brazilian codling
ANDREW MARR INTERNATIONAL LIMITED,Brazilian menhaden
ANDREW MARR INTERNATIONAL LIMITED,Brazilian sardinella
