COUNTRY_NAME,METRIC_NAME,VALUE_TYPE,VALUE
Afghanistan,1st largest destination of seafood exports,String,Viet Nam
Afghanistan,1st largest source of seafood imports,String,Viet Nam
Afghanistan,2nd largest destination of seafood exports,String,Ecuador
Afghanistan,2nd largest source of seafood imports,String,Iran
Afghanistan,3rd largest destination of seafood exports,String,Spain
Afghanistan,3rd largest source of seafood imports,String,Pakistan
Afghanistan,Agreement on the International Dolphin Conservation Programme (AIDCP) (sister organisation to IATTC),Bool,No
Afghanistan,Commission for the Conservation of Southern Bluefin Tuna (CCSBT),Bool,No
Afghanistan,Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),Bool,No
Afghanistan,Convention on the Conservation and Management of Pollock Resources in the Central Bering Sea (CCBSP),Bool,No
Afghanistan,"Fish, Seafood (1000 tonnes)",Number,9
Afghanistan,"Fish, Seafood (1000 tonnes)",Number,0
Afghanistan,"Fish, Seafood (2019/2010 CAGR)",Percentage,11.98%
Afghanistan,"Fish, Seafood (2019/2010 CAGR)",Percentage,-100.00%
Afghanistan,"Fish, Seafood (2019/2010 CAGR)",Percentage,9.06%
Afghanistan,"Fish, Seafood (kg/capita/yr)",Number,0
Afghanistan,Fisheries Committee for the Eastern Central Atlantic (CECAF),Bool,No
Afghanistan,Freshwater Fish (1000 tonnes),Number,0
Afghanistan,Freshwater Fish (1000 tonnes),Number,9
Afghanistan,Freshwater Fish (2019/2010 CAGR),Percentage,11.98%
Afghanistan,Freshwater Fish (2019/2010 CAGR),Percentage,9.06%
Afghanistan,Freshwater Fish (2019/2010 CAGR),Percentage,-100.00%
Afghanistan,Freshwater Fish (kg/capita/yr),Number,0
Afghanistan,General Fisheries Commission for the Mediterranean (GFCM),Bool,No
Afghanistan,Indian Ocean Tuna Commission (IOTC),Bool,No
Afghanistan,Inter-American Tropical Tuna Commission (IATTC),Bool,No
Afghanistan,International Commission for the Conservation of Atlantic Tunas (ICCAT),Bool,No
Afghanistan,Is the country a distant-water fishing nation?,Bool,No
Afghanistan,North Atlantic Salmon Conservation Organisation (NASCO),Bool,No
Afghanistan,North Pacific Fisheries Commission (NPFC),Bool,No
Afghanistan,North-East Atlantic Fisheries Commission (NEAFC),Bool,No
Afghanistan,Northwest Atlantic Fisheries Organization (NAFO),Bool,No
Afghanistan,South Pacific Regional Fisheries Management Organisation (SPRFMO),Bool,No
Afghanistan,South-East Atlantic Fisheries Organisation (SEAFO),Bool,No
Afghanistan,Southern Indian Ocean Fisheries Agreement (SIOFA),Bool,No
Afghanistan,Western Central Atlantic Fisheries Commission (WECAFC),Bool,No
Afghanistan,Western and Central Pacific Fisheries Commission (WCPFC),Bool,No
Aland Islands,Agreement on the International Dolphin Conservation Programme (AIDCP) (sister organisation to IATTC),Bool,No
Aland Islands,Commission for the Conservation of Southern Bluefin Tuna (CCSBT),Bool,No
Aland Islands,Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),Bool,No
Aland Islands,Convention on the Conservation and Management of Pollock Resources in the Central Bering Sea (CCBSP),Bool,No
Aland Islands,Fisheries Committee for the Eastern Central Atlantic (CECAF),Bool,No
Aland Islands,General Fisheries Commission for the Mediterranean (GFCM),Bool,No
Aland Islands,Indian Ocean Tuna Commission (IOTC),Bool,No
Aland Islands,Inter-American Tropical Tuna Commission (IATTC),Bool,No
Aland Islands,International Commission for the Conservation of Atlantic Tunas (ICCAT),Bool,No
Aland Islands,North Atlantic Salmon Conservation Organisation (NASCO),Bool,No
Aland Islands,North Pacific Fisheries Commission (NPFC),Bool,No
Aland Islands,North-East Atlantic Fisheries Commission (NEAFC),Bool,No
Aland Islands,Northwest Atlantic Fisheries Organization (NAFO),Bool,No
Aland Islands,South Pacific Regional Fisheries Management Organisation (SPRFMO),Bool,No
Aland Islands,South-East Atlantic Fisheries Organisation (SEAFO),Bool,No
Aland Islands,Southern Indian Ocean Fisheries Agreement (SIOFA),Bool,No
Aland Islands,Western Central Atlantic Fisheries Commission (WECAFC),Bool,No
Aland Islands,Western and Central Pacific Fisheries Commission (WCPFC),Bool,No
Albania,10th most caught species in EEZ of Country,String,Atlantic bonito
Albania,1st largest destination of seafood exports,String,Italy
Albania,1st largest source of seafood imports,String,Italy
Albania,1st most caught species in EEZ of Country,String,Marine fishes not identified
Albania,2nd largest destination of seafood exports,String,Sweden
Albania,2nd largest source of seafood imports,String,Croatia
Albania,2nd most caught species in EEZ of Country,String,European pilchard(=Sardine)
Albania,3rd largest destination of seafood exports,String,Estonia
Albania,3rd largest source of seafood imports,String,Denmark
Albania,3rd most caught species in EEZ of Country,String,Bogue
Albania,4th most caught species in EEZ of Country,String,Spicara
Albania,5th most caught species in EEZ of Country,String,Common cuttlefish
Albania,6th most caught species in EEZ of Country,String,Loligo
Albania,7th most caught species in EEZ of Country,String,Common octopus
Albania,8th most caught species in EEZ of Country,String,Mullets nei
Albania,9th most caught species in EEZ of Country,String,Deep-water rose shrimp
Albania,Access of foreign fishing fleets (assessment score),Percentage,25.00%
Albania,Adoption of 1930 International Labour Organization Forced Labour Convention (No. 29),Bool,Yes
Albania,Adoption of 1957 International Labour Organization Abolition of Forced Labour Convention (No. 105),Bool,Yes
Albania,Adoption of 1975 Convention on International Trade in Endangered Species of Wild Fauna and Flora,Bool,Yes
Albania,Adoption of 1982 United Nations Convention for the Law of the Sea,Bool,Yes
Albania,Adoption of 1983 Convention on the Conservation of Migratory Species,Bool,Yes
Albania,Adoption of 1993 Convention on Biological Diversity,Bool,Yes
Albania,Adoption of 1995 United Nations Fish Stocks Agreement,Bool,No
Albania,Adoption of 2006 International Labour Organization Maritime Labour Convention,Bool,Yes
Albania,Adoption of 2007 International Labour Organization Work in Fishing Convention (No. 188),Bool,No
Albania,"Adoption of 2009 FAO Agreement on Port States Measures to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing",Bool,Yes
Albania,Adoption of Protocol of 2014 to the 1930 Forced Labour Convention (P029),Bool,No
Albania,Adoption of the 2012 International Maritime Organization Cape Town Agreement,Bool,No
Albania,Agreement on the International Dolphin Conservation Programme (AIDCP) (sister organisation to IATTC),Bool,No
Albania,Alignment with international standards for protecting worker rights and safety in fisheries (assessment score),Percentage,50.00%
Albania,"Aquatic Animals, Others (1000 tonnes)",Number,0
Albania,"Aquatic Animals, Others (kg/capita/yr)",Number,0
Albania,Artisanal Catch by Flag of Country (Tonnes),Number,318
Albania,Artisanal opportunities - Score (2024/2015 % Change),Percentage,36.47%
Albania,Artisanal opportunities - Score 2015,Percentage,49.28%
Albania,Artisanal opportunities - Score 2024,Percentage,67.25%
Albania,Biodiversity - Score (2024/2015 % Change),Percentage,-9.28%
Albania,Biodiversity - Score 2015,Percentage,67.60%
Albania,Biodiversity - Score 2024,Percentage,61.33%
Albania,Carbon storage - Score (2024/2015 % Change),Percentage,0.00%
Albania,Carbon storage - Score 2015,Percentage,71.43%
Albania,Carbon storage - Score 2024,Percentage,71.43%
Albania,Cephalopods (1000 tonnes),Number,0
Albania,Cephalopods (1000 tonnes),Number,1
Albania,Cephalopods (1000 tonnes),Number,3
Albania,Cephalopods (2019/2010 CAGR),Percentage,4.70%
Albania,Cephalopods (2019/2010 CAGR),Percentage,5.15%
Albania,Cephalopods (2019/2010 CAGR),Percentage,7.68%
Albania,Cephalopods (2019/2010 CAGR),Percentage,6.34%
Albania,Cephalopods (kg/capita/yr),Number,1
Albania,Commission for the Conservation of Southern Bluefin Tuna (CCSBT),Bool,No
Albania,Compliance monitoring and surveillance programs (assessment score),Percentage,67.00%
Albania,Convention on Conservation of Antarctic Marine Living Resources (CCAMLR),Bool,No
Albania,Convention on the Conservation and Management of Pollock Resources in the Central Bering Sea (CCBSP),Bool,No
Albania,Crustaceans (1000 tonnes),Number,7
Albania,Crustaceans (1000 tonnes),Number,9
Albania,Crustaceans (1000 tonnes),Number,2
Albania,Crustaceans (2019/2010 CAGR),Percentage,39.00%
Albania,Crustaceans (2019/2010 CAGR),Percentage,54.38%
Albania,Crustaceans (2019/2010 CAGR),Percentage,27.19%
Albania,Crustaceans (2019/2010 CAGR),Percentage,23.74%
Albania,Crustaceans (kg/capita/yr),Number,1
Albania,Data availability on stock sustainability,Percentage,29.69%
Albania,Demersal Fish (1000 tonnes),Number,2
Albania,Demersal Fish (1000 tonnes),Number,6
Albania,Demersal Fish (1000 tonnes),Number,1
Albania,Demersal Fish (2019/2010 CAGR),Percentage,11.15%
Albania,Demersal Fish (2019/2010 CAGR),Percentage,8.23%
Albania,Demersal Fish (2019/2010 CAGR),Percentage,10.31%
Albania,Demersal Fish (2019/2010 CAGR),Percentage,12.57%
Albania,Demersal Fish (kg/capita/yr),Number,2
Albania,Discards Catch in EEZ of Country (Tonnes),Number,"1,922"
Albania,Employment of fisheries observers,Bool,No
Albania,"Fish, Seafood (1000 tonnes)",Number,23
Albania,"Fish, Seafood (1000 tonnes)",Number,13
Albania,"Fish, Seafood (1000 tonnes)",Number,35
Albania,"Fish, Seafood (2019/2010 CAGR)",Percentage,9.95%
Albania,"Fish, Seafood (2019/2010 CAGR)",Percentage,5.78%
Albania,"Fish, Seafood (2019/2010 CAGR)",Percentage,3.92%
Albania,"Fish, Seafood (2019/2010 CAGR)",Percentage,15.26%
Albania,"Fish, Seafood (kg/capita/yr)",Number,9
Albania,FishSource Score: Current Stock Health,Percentage,71.58%
Albania,FishSource Score: Future Stock Health,Percentage,68.17%
Albania,Fisheries (subgoal) - Score (2024/2015 % Change),Percentage,-4.77%
Albania,Fisheries (subgoal) - Score 2015,Percentage,13.21%
Albania,Fisheries (subgoal) - Score 2024,Percentage,12.58%
Albania,Fisheries Committee for the Eastern Central Atlantic (CECAF),Bool,No
Albania,Fisheries governance score,Percentage,55.00%
Albania,Fishery subsidy program (assessment score),Percentage,27.00%
Albania,Fishing Subsidies - Beneficial (USD),Number,"1,594,099"
Albania,Fishing Subsidies - Harmful (USD),Number,"6,987,694"
Albania,Fishing Subsidies - Harmful as % of Total,Percentage,81.42%
Albania,Fishing Subsidies - Total (USD),Number,"8,581,793"
Albania,Freshwater Fish (1000 tonnes),Number,1
Albania,Freshwater Fish (1000 tonnes),Number,2
Albania,Freshwater Fish (1000 tonnes),Number,0
Albania,Freshwater Fish (2019/2010 CAGR),Percentage,0.18%
Albania,Freshwater Fish (2019/2010 CAGR),Percentage,21.45%
Albania,Freshwater Fish (2019/2010 CAGR),Percentage,67.54%
Albania,Freshwater Fish (2019/2010 CAGR),Percentage,-3.96%
Albania,Freshwater Fish (kg/capita/yr),Number,1
Albania,General Fisheries Commission for the Mediterranean (GFCM),Bool,Yes
Albania,Index - Score (2024/2015 % Change),Percentage,4.70%
Albania,Index - Score 2015,Percentage,66.55%
Albania,Index - Score 2024,Percentage,69.68%
Albania,Indian Ocean Tuna Commission (IOTC),Bool,No
Albania,Industrial Catch by Flag of Country (Tonnes),Number,"7,439"
Albania,Inter-American Tropical Tuna Commission (IATTC),Bool,No
Albania,International Commission for the Conservation of Atlantic Tunas (ICCAT),Bool,Yes
Albania,Is the country a distant-water fishing nation?,Bool,No
Albania,Knowledge on fishing fleets (assessment score),Percentage,57.00%
Albania,Landings Catch in EEZ of Country (Tonnes),Number,"5,852"
Albania,Livelihoods & economies - Score (2024/2015 % Change),Percentage,0.00%
Albania,Livelihoods & economies - Score 2015,Percentage,100.00%
Albania,Livelihoods & economies - Score 2024,Percentage,100.00%
Albania,Mariculture (subgoal) - Score (2024/2015 % Change),Percentage,189.34%
Albania,Mariculture (subgoal) - Score 2015,Percentage,11.91%
Albania,Mariculture (subgoal) - Score 2024,Percentage,34.46%
Albania,"Marine Fish, Other (1000 tonnes)",Number,1
Albania,"Marine Fish, Other (1000 tonnes)",Number,0
Albania,"Marine Fish, Other (2019/2010 CAGR)",Percentage,1.12%
Albania,"Marine Fish, Other (2019/2010 CAGR)",Percentage,-8.59%
Albania,"Marine Fish, Other (2019/2010 CAGR)",Percentage,-15.18%
Albania,"Marine Fish, Other (2019/2010 CAGR)",Percentage,-0.48%
Albania,"Marine Fish, Other (kg/capita/yr)",Number,0
Albania,"Molluscs, Other (1000 tonnes)",Number,0
Albania,"Molluscs, Other (2019/2010 CAGR)",Percentage,-0.89%
Albania,"Molluscs, Other (2019/2010 CAGR)",Percentage,-6.97%
Albania,"Molluscs, Other (2019/2010 CAGR)",Percentage,-12.36%
Albania,"Molluscs, Other (2019/2010 CAGR)",Percentage,-12.71%
Albania,"Molluscs, Other (kg/capita/yr)",Number,0
Albania,North Atlantic Salmon Conservation Organisation (NASCO),Bool,No
Albania,North Pacific Fisheries Commission (NPFC),Bool,No
Albania,North-East Atlantic Fisheries Commission (NEAFC),Bool,No
Albania,Northwest Atlantic Fisheries Organization (NAFO),Bool,No
Albania,Pelagic Fish (1000 tonnes),Number,20
Albania,Pelagic Fish (1000 tonnes),Number,12
Albania,Pelagic Fish (1000 tonnes),Number,2
Albania,Pelagic Fish (2019/2010 CAGR),Percentage,18.15%
Albania,Pelagic Fish (2019/2010 CAGR),Percentage,12.35%
Albania,Pelagic Fish (2019/2010 CAGR),Percentage,7.25%
Albania,Pelagic Fish (2019/2010 CAGR),Percentage,1.56%
Albania,Pelagic Fish (kg/capita/yr),Number,3
Albania,Proportion of 1990-2018 catches that is not assessed,Percentage,70.31%
Albania,Proportion of 1990-2018 catches that is overfished,Percentage,8.51%
Albania,Proportion of 1990-2018 catches that is sustainable,Percentage,21.18%
Albania,Proportion of assessed fish stocks that is sustainable,Percentage,54.55%
Albania,Protected marine area (km2),Number,141
Albania,Reported Catch in EEZ of Country (Tonnes),Number,"5,852"
Albania,Severity of fishery sanctions (assessment score),Percentage,75.00%
Albania,South Pacific Regional Fisheries Management Organisation (SPRFMO),Bool,No
Albania,South-East Atlantic Fisheries Organisation (SEAFO),Bool,No
Albania,Southern Indian Ocean Fisheries Agreement (SIOFA),Bool,No
Albania,Subsistence Catch by Flag of Country (Tonnes),Number,17
Albania,Unreported Catch in EEZ of Country (Tonnes),Number,"1,922"
Albania,Western Central Atlantic Fisheries Commission (WECAFC),Bool,No
Albania,Western and Central Pacific Fisheries Commission (WCPFC),Bool,No
Albania,bottom trawl Catch by Flag of Country (Tonnes),Number,"6,557"
Albania,purse seine Catch by Flag of Country (Tonnes),Number,300
Albania,small scale Catch by Flag of Country (Tonnes),Number,17
Albania,unknown Catch by Flag of Country (Tonnes),Number,900
Algeria,"% of protected area that in IUCN category I, II or III",Percentage,72.00%
Algeria,10th most caught species in EEZ of Country,String,"Goatfishes, red mullets nei"
Algeria,1st largest destination of seafood exports,String,Spain
Algeria,1st largest source of seafood imports,String,China
Algeria,1st most caught species in EEZ of Country,String,European pilchard(=Sardine)
Algeria,2nd largest destination of seafood exports,String,Malta
Algeria,2nd largest source of seafood imports,String,Thailand
Algeria,2nd most caught species in EEZ of Country,String,Marine fishes not identified
Algeria,3rd largest destination of seafood exports,String,Japan
Algeria,3rd largest source of seafood imports,String,Spain
Algeria,3rd most caught species in EEZ of Country,String,Sardinella
Algeria,4th most caught species in EEZ of Country,String,Blue shark
Algeria,5th most caught species in EEZ of Country,String,Trachurus
Algeria,6th most caught species in EEZ of Country,String,Little tunny(=Atl.black skipj)
Algeria,7th most caught species in EEZ of Country,String,Gilthead seabream
Algeria,8th most caught species in EEZ of Country,String,Deep-water rose shrimp
Algeria,9th most caught species in EEZ of Country,String,Swordfish
Algeria,Access of foreign fishing fleets (assessment score),Percentage,100.00%
Algeria,Adoption of 1930 International Labour Organization Forced Labour Convention (No. 29),Bool,Yes
Algeria,Adoption of 1957 International Labour Organization Abolition of Forced Labour Convention (No. 105),Bool,Yes
Algeria,Adoption of 1975 Convention on International Trade in Endangered Species of Wild Fauna and Flora,Bool,Yes
Algeria,Adoption of 1982 United Nations Convention for the Law of the Sea,Bool,Yes
Algeria,Adoption of 1983 Convention on the Conservation of Migratory Species,Bool,Yes
Algeria,Adoption of 1993 Convention on Biological Diversity,Bool,Yes
Algeria,Adoption of 1995 United Nations Fish Stocks Agreement,Bool,No
Algeria,Adoption of 2006 International Labour Organization Maritime Labour Convention,Bool,Yes
