COMPANY_NAME,METRIC_NAME,VALUE
ADRIATIC SEA FISH,Ocean Health Index - Score (% Change 2024/2015),0.05659004946
ADRIATIC SEA FISH,Ocean Health Index - Score (2015),0.6874
ADRIATIC SEA FISH,Ocean Health Index - Score (2024),0.7263
ADRIATIC SEA FISH,Reporting Precision PT Score,0.0409633983
AKER BIOMARINE AS,FishSource Score - Current Stock Health,0.8
AKER BIOMARINE AS,FishSource Score - Fishers Compliance,1
AKER BIOMARINE AS,FishSource Score - Future Stock Health,0.8
AKER BIOMARINE AS,FishSource Score - Management Quality,0.6
AKER BIOMARINE AS,FishSource Score - Managers Compliance,0.8
AKER BIOMARINE AS,Global Fishing Index - Access of foreign fishing fleets (assessment score),0.666
AKER BIOMARINE AS,Global Fishing Index - Alignment with international standards for protecting worker rights and safety in fisheries (assessment score),0.666
AKER BIOMARINE AS,Global Fishing Index - Compliance monitoring and surveillance programs (assessment score),0.826
AKER BIOMARINE AS,Global Fishing Index - Data availability on stock sustainability,0.58168
AKER BIOMARINE AS,Global Fishing Index - Fisheries governance score,0.788
AKER BIOMARINE AS,Global Fishing Index - Fishery subsidy program (assessment score),0.534
AKER BIOMARINE AS,Global Fishing Index - Knowledge on fishing fleets (assessment score),0.914
AKER BIOMARINE AS,Global Fishing Index - Proportion of 1990-2018 catches that is not assessed,0.41832
AKER BIOMARINE AS,Global Fishing Index - Proportion of 1990-2018 catches that is overfished,0.11186
AKER BIOMARINE AS,Global Fishing Index - Proportion of 1990-2018 catches that is sustainable,0.46982
AKER BIOMARINE AS,Global Fishing Index - Proportion of assessed fish stocks that is sustainable,0.58748
AKER BIOMARINE AS,Global Fishing Index - Severity of fishery sanctions (assessment score),0.95
AKER BIOMARINE AS,Ocean Health Index - Score (% Change 2024/2015),-0.06825073068
AKER BIOMARINE AS,Ocean Health Index - Score (2015),0.7405
AKER BIOMARINE AS,Ocean Health Index - Score (2024),0.68938
AKER BIOMARINE AS,Reporting Precision PT Score,0.0778524245
AKVA GROUP ASA,FishSource Score - Current Stock Health,0.6732805133
AKVA GROUP ASA,FishSource Score - Fishers Compliance,0.8775400844
AKVA GROUP ASA,FishSource Score - Future Stock Health,0.5706160846
AKVA GROUP ASA,FishSource Score - Management Quality,0.5487941219
AKVA GROUP ASA,FishSource Score - Managers Compliance,0.7517283347
AKVA GROUP ASA,Global Fishing Index - Access of foreign fishing fleets (assessment score),0.5480851064
AKVA GROUP ASA,Global Fishing Index - Alignment with international standards for protecting worker rights and safety in fisheries (assessment score),0.4533333333
AKVA GROUP ASA,Global Fishing Index - Compliance monitoring and surveillance programs (assessment score),0.7110638298
AKVA GROUP ASA,Global Fishing Index - Data availability on stock sustainability,0.405848227
AKVA GROUP ASA,Global Fishing Index - Fisheries governance score,0.6440425532
AKVA GROUP ASA,Global Fishing Index - Fishery subsidy program (assessment score),0.4522695035
AKVA GROUP ASA,Global Fishing Index - Knowledge on fishing fleets (assessment score),0.7438297872
AKVA GROUP ASA,Global Fishing Index - Proportion of 1990-2018 catches that is not assessed,0.594151773
AKVA GROUP ASA,Global Fishing Index - Proportion of 1990-2018 catches that is overfished,0.1472567376
AKVA GROUP ASA,Global Fishing Index - Proportion of 1990-2018 catches that is sustainable,0.2585886525
AKVA GROUP ASA,Global Fishing Index - Proportion of assessed fish stocks that is sustainable,0.6134950355
AKVA GROUP ASA,Global Fishing Index - Severity of fishery sanctions (assessment score),0.8776595745
AKVA GROUP ASA,Ocean Health Index - Score (% Change 2024/2015),-0.05597058827
AKVA GROUP ASA,Ocean Health Index - Score (2015),0.7063458101
AKVA GROUP ASA,Ocean Health Index - Score (2024),0.6660893855
AKVA GROUP ASA,Reporting Precision PT Score,0.05978470144
AKVA GROUP ASA,SeaAroundUs Bottom Trawl / Total Catch (%),0.1205171391
AKVA GROUP ASA,SeaAroundUs Gillnets / Total Catch (%),0.06756417351
AKVA GROUP ASA,SeaAroundUs Unreported / Total Catch (%),0.3491485229
ALBACORA GROUP,FishSource Score - Current Stock Health,0.8872222222
ALBACORA GROUP,FishSource Score - Fishers Compliance,0.7722222222
ALBACORA GROUP,FishSource Score - Future Stock Health,0.8852777778
ALBACORA GROUP,FishSource Score - Management Quality,0.6694444444
ALBACORA GROUP,FishSource Score - Managers Compliance,0.8166666667
ALBACORA GROUP,Global Fishing Index - Access of foreign fishing fleets (assessment score),0.67
ALBACORA GROUP,Global Fishing Index - Alignment with international standards for protecting worker rights and safety in fisheries (assessment score),0.6633333333
ALBACORA GROUP,Global Fishing Index - Compliance monitoring and surveillance programs (assessment score),0.82
ALBACORA GROUP,Global Fishing Index - Data availability on stock sustainability,0.5576666667
ALBACORA GROUP,Global Fishing Index - Fisheries governance score,0.7466666667
ALBACORA GROUP,Global Fishing Index - Fishery subsidy program (assessment score),0.31
ALBACORA GROUP,Global Fishing Index - Knowledge on fishing fleets (assessment score),0.9033333333
ALBACORA GROUP,Global Fishing Index - Proportion of 1990-2018 catches that is not assessed,0.4423333333
ALBACORA GROUP,Global Fishing Index - Proportion of 1990-2018 catches that is overfished,0.2531666667
ALBACORA GROUP,Global Fishing Index - Proportion of 1990-2018 catches that is sustainable,0.3045
ALBACORA GROUP,Global Fishing Index - Proportion of assessed fish stocks that is sustainable,0.5066333333
ALBACORA GROUP,Global Fishing Index - Severity of fishery sanctions (assessment score),1
ALBACORA GROUP,Ocean Health Index - Score (% Change 2024/2015),-0.02435722727
ALBACORA GROUP,Ocean Health Index - Score (2015),0.7498333333
ALBACORA GROUP,Ocean Health Index - Score (2024),0.7309666667
ALBACORA GROUP,Reporting Precision PT Score,1
ALBACORA GROUP,SeaAroundUs Unreported / Total Catch (%),0.02641123262
ALDA SEAFOOD,FishSource Score - Current Stock Health,0.7145417473
ALDA SEAFOOD,FishSource Score - Fishers Compliance,0.7581192985
ALDA SEAFOOD,FishSource Score - Future Stock Health,0.6355048081
ALDA SEAFOOD,FishSource Score - Management Quality,0.6278705916
ALDA SEAFOOD,FishSource Score - Managers Compliance,0.6881870886
ALDA SEAFOOD,Global Fishing Index - Access of foreign fishing fleets (assessment score),0.4055555556
ALDA SEAFOOD,Global Fishing Index - Alignment with international standards for protecting worker rights and safety in fisheries (assessment score),0.9444444444
ALDA SEAFOOD,Global Fishing Index - Compliance monitoring and surveillance programs (assessment score),0.9688888889
ALDA SEAFOOD,Global Fishing Index - Data availability on stock sustainability,0.7558444444
ALDA SEAFOOD,Global Fishing Index - Fisheries governance score,0.7877777778
ALDA SEAFOOD,Global Fishing Index - Fishery subsidy program (assessment score),0.2866666667
ALDA SEAFOOD,Global Fishing Index - Knowledge on fishing fleets (assessment score),0.8233333333
ALDA SEAFOOD,Global Fishing Index - Proportion of 1990-2018 catches that is not assessed,0.2441555556
ALDA SEAFOOD,Global Fishing Index - Proportion of 1990-2018 catches that is overfished,0.1892444444
ALDA SEAFOOD,Global Fishing Index - Proportion of 1990-2018 catches that is sustainable,0.5665777778
ALDA SEAFOOD,Global Fishing Index - Proportion of assessed fish stocks that is sustainable,0.5564333333
ALDA SEAFOOD,Global Fishing Index - Severity of fishery sanctions (assessment score),0.75
ALDA SEAFOOD,Ocean Health Index - Score (% Change 2024/2015),-0.0633868052
ALDA SEAFOOD,Ocean Health Index - Score (2015),0.7360222222
ALDA SEAFOOD,Ocean Health Index - Score (2024),0.6888333333
ALDA SEAFOOD,Reporting Precision PT Score,0.6944524174
ALDA SEAFOOD,SeaAroundUs Bottom Trawl / Total Catch (%),0.3066814704
ALDA SEAFOOD,SeaAroundUs Gillnets / Total Catch (%),0.1142944411
ALDA SEAFOOD,SeaAroundUs Unreported / Total Catch (%),0.072390803
AMERICAN SEAFOODS,FishSource Score - Current Stock Health,0.7377685894
AMERICAN SEAFOODS,FishSource Score - Fishers Compliance,0.7001383199
