SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
Acadian redfish,Sebastes fasciatus,Endangered,
African forktail snapper,Apsilus fuscus,Least Concern,Unknown
African moonfish,Selene dorsalis,Least Concern,Stable
African pompano,Alectis ciliaris,Least Concern,Unknown
African striped grunt,Parapristipoma octolineatum,Least Concern,Unknown
Albacore,Thunnus alalunga,Least Concern,Decreasing
Alewife,Alosa pseudoharengus,Least Concern,Unknown
Alexandria pompano,Alectis alexandrina,Least Concern,Stable
Allis shad,Alosa alosa,Least Concern,Unknown
Amberstripe scad,Decapterus muroadsi,Least Concern,Unknown
American conger,Conger oceanicus,Least Concern,Unknown
American eel,Anguilla rostrata,Endangered,Decreasing
American gizzard shad,Dorosoma cepedianum,Least Concern,Stable
American lobster,Homarus americanus,Least Concern,Stable
American shad,Alosa sapidissima,Least Concern,Unknown
Anchoveta(=Peruvian anchovy),Engraulis ringens,Least Concern,Increasing
Angler(=Monk),Lophius piscatorius,Least Concern,Unknown
Antarctic krill,Euphausia superba,Least Concern,Stable
Araucanian herring,Strangomera bentincki,Least Concern,Unknown
Areolate grouper,Epinephelus areolatus,Least Concern,Unknown
Argentine anchovy,Engraulis anchoita,Least Concern,Stable
Argentine conger,Conger orbignianus,Least Concern,Unknown
Argentine menhaden,Brevoortia pectinata,Least Concern,Stable
Argentine seabass,Acanthistius brasilianus,Data Deficient,Unknown
Argentine shortfin squid,Illex argentinus,Least Concern,Unknown
Arrowtooth flounder,Atheresthes stomias,Least Concern,Stable
Atlantic Spanish mackerel,Scomberomorus maculatus,Least Concern,Unknown
Atlantic anchoveta,Cetengraulis edentulus,Least Concern,Unknown
Atlantic bluefin tuna,Thunnus thynnus,Least Concern,Unknown
Atlantic bonito,Sarda sarda,Least Concern,Stable
Atlantic bumper,Chloroscombrus chrysurus,Least Concern,Stable
Atlantic chub mackerel,Scomber colias,Least Concern,Unknown
Atlantic cod,Gadus morhua,Vulnerable,
Atlantic flyingfish,Cheilopogon melanurus,Least Concern,Unknown
Atlantic goliath grouper,Epinephelus itajara,Vulnerable,Decreasing
Atlantic halibut,Hippoglossus hippoglossus,Endangered,
Atlantic herring,Clupea harengus,Least Concern,Increasing
Atlantic horse mackerel,Trachurus trachurus,Vulnerable,Decreasing
Atlantic mackerel,Scomber scombrus,Least Concern,Decreasing
Atlantic menhaden,Brevoortia tyrannus,Least Concern,Increasing
Atlantic moonfish,Selene setapinnis,Least Concern,Stable
Atlantic silverside,Menidia menidia,Least Concern,Stable
Atlantic thread herring,Opisthonema oglinum,Least Concern,Unknown
Atlantic white marlin,Kajikia albida,Vulnerable,Decreasing
Australian bonito,Sarda australis,Least Concern,Unknown
Bali sardinella,Sardinella lemuru,Near Threatened,Decreasing
Banded rudderfish,Seriola zonata,Least Concern,Stable
Bar jack,Caranx ruber,Least Concern,Unknown
Barred grunt,Conodon nobilis,Least Concern,Unknown
Bastard grunt,Pomadasys incisus,Least Concern,Unknown
Bay anchovy,Anchoa mitchilli,Least Concern,Stable
Beaked redfish,Sebastes mentella,Least Concern,Unknown
Bearded brotula,Brotula barbata,Least Concern,Unknown
Benguela hake,Merluccius polli,Least Concern,Unknown
Big-scale sand smelt,Atherina boyeri,Least Concern,Unknown
Bigeye grunt,Brachydeuterus auritus,Near Threatened,Unknown
Bigeye scad,Selar crumenophthalmus,Least Concern,Stable
Bigeye trevally,Caranx sexfasciatus,Least Concern,Decreasing
Bigeye tuna,Thunnus obesus,Vulnerable,Decreasing
Biglip grunt,Plectorhinchus macrolepis,Least Concern,Unknown
Black and Caspian Sea sprat,Clupeonella cultriventris,Least Concern,Unknown
Black and white snapper,Macolor niger,Least Concern,Unknown
Black grouper,Mycteroperca bonaci,Near Threatened,Decreasing
Black jack,Caranx lugubris,Least Concern,Stable
Black marlin,Istiompax indica,Data Deficient,Unknown
Black pomfret,Parastromateus niger,Least Concern,Decreasing
Black scabbardfish,Aphanopus carbo,Least Concern,Unknown
Black scorpionfish,Scorpaena porcus,Least Concern,Unknown
Black seabass,Centropristis striata,Least Concern,Stable
Black skipjack,Euthynnus lineatus,Least Concern,Stable
Black wing flyingfish,Hirundichthys rondeletii,Least Concern,Unknown
Blackbanded trevally,Seriolina nigrofasciata,Least Concern,Unknown
Blackbellied angler,Lophius budegassa,Data Deficient,Unknown
Blackbelly rosefish,Helicolenus dactylopterus,Least Concern,Unknown
Blackfin goosefish,Lophius gastrophysus,Least Concern,Decreasing
