SPECIES_NAME,METRIC_NAME,VALUE
Acadian redfish,FishSource Score: Current Stock Health,10
Acadian redfish,FishSource Score: Fishers Compliance,10
Acadian redfish,FishSource Score: Future Stock Health,7
Acadian redfish,FishSource Score: Management Quality,6.5
Acadian redfish,FishSource Score: Managers Compliance,10
Acute-jawed mullet,Artisanal Catch (Tonnes),0.0412768718
Acute-jawed mullet,Landings Catch (Tonnes),18.254283472
Acute-jawed mullet,Recreational Catch (Tonnes),18.2130066
Acute-jawed mullet,Reported Catch (Tonnes),0.0412768718
Acute-jawed mullet,Unreported Catch (Tonnes),18.2130066
Acute-jawed mullet,small scale Catch (Tonnes),18.254283472
Adriatic sole,Discards Catch (Tonnes),1.305839793
Adriatic sole,Industrial Catch (Tonnes),1.305839793
Adriatic sole,Unreported Catch (Tonnes),1.305839793
Adriatic sole,bottom trawl Catch (Tonnes),1.305839793
African forktail snapper,Artisanal Catch (Tonnes),296.029216884
African forktail snapper,Industrial Catch (Tonnes),13.573171686
African forktail snapper,Landings Catch (Tonnes),368.14634667
African forktail snapper,Reported Catch (Tonnes),235.351280718
African forktail snapper,Subsistence Catch (Tonnes),58.5439581
African forktail snapper,Unreported Catch (Tonnes),132.795065952
African forktail snapper,bottom trawl Catch (Tonnes),0.222453968
African forktail snapper,longline Catch (Tonnes),13.350717718
African forktail snapper,small scale Catch (Tonnes),354.573174984
African moonfish,Artisanal Catch (Tonnes),4524.461063058
African moonfish,Discards Catch (Tonnes),11.370552245
African moonfish,Industrial Catch (Tonnes),2380.407111134
African moonfish,Landings Catch (Tonnes),8438.59186804
African moonfish,Reported Catch (Tonnes),5872.045035653
African moonfish,Subsistence Catch (Tonnes),1545.094246093
African moonfish,Unreported Catch (Tonnes),2577.917384632
African moonfish,bottom trawl Catch (Tonnes),676.018707128
African moonfish,purse seine Catch (Tonnes),167.533164756
African moonfish,small scale Catch (Tonnes),7450.078739741
African moonfish,unknown Catch (Tonnes),156.33180866
African pompano,Artisanal Catch (Tonnes),593.668378572
African pompano,Discards Catch (Tonnes),45.931196962
African pompano,Industrial Catch (Tonnes),69.380629418
African pompano,Landings Catch (Tonnes),950.776529758
African pompano,Recreational Catch (Tonnes),323.952487521
African pompano,Reported Catch (Tonnes),583.995531188
African pompano,Subsistence Catch (Tonnes),9.706231209
African pompano,Unreported Catch (Tonnes),412.712195533
African pompano,bottom trawl Catch (Tonnes),23.449432456
African pompano,gillnets Catch (Tonnes),8.04542e-07
African pompano,longline Catch (Tonnes),5.967001483
African pompano,other Catch (Tonnes),0.4019218224
African pompano,small scale Catch (Tonnes),597.506325103
African pompano,unknown Catch (Tonnes),369.383045052
African striped grunt,Artisanal Catch (Tonnes),4.7401436
African striped grunt,Discards Catch (Tonnes),0.3091398
African striped grunt,Industrial Catch (Tonnes),1.4941757
African striped grunt,Landings Catch (Tonnes),5.9251795
African striped grunt,Reported Catch (Tonnes),5.15233
African striped grunt,Unreported Catch (Tonnes),1.0819893
African striped grunt,bottom trawl Catch (Tonnes),1.4941757
